Temperature,H2,H2O,CO,CO2,CH2O,CH4,CH3OH,C2H2,CH3CHO,C2H4,C2H6,CH3COCH3,A1-C6H6,C5H6,A2-C10H8,A1OH-C6H6O,C5H4O2,C2H2O2,HAA-C2H4O2,XYLOSE-C5H8O,C11H12O4,C8H10O3,C2H5OH,HCOOH
1073.0,0.00022,0.06748,0.06448,0.1146,0.06506,0.0026,0.03632,0.0,0.01299,0.01144,0.0,0.05173,0.0,0.0,0.0,0.00147,0.0,0.02529,0.07637,0.07382,0.05309,0.0,0.00874,0.00705
1073.0,0.00019,0.06676,0.06714,0.11108,0.05693,0.00265,0.041,0.0,0.01182,0.00969,0.0,0.04694,0.0,0.0,0.0,0.00145,0.0,0.02238,0.06901,0.08688,0.05909,0.0,0.00733,0.00671
1073.0,0.00023,0.20081,0.04612,0.10035,0.06557,0.00089,0.02097,0.0,0.01091,0.01221,0.0,0.04952,0.0,0.0,0.0,0.0014,0.0,0.02615,0.07739,0.05672,0.01755,0.0,0.00926,0.00543
1073.0,0.00019,0.19095,0.05468,0.09825,0.0559,0.00221,0.03063,0.0,0.01115,0.0098,0.0,0.04463,0.0,0.0,0.0,0.00128,0.0,0.02182,0.06603,0.06624,0.04529,0.0,0.00748,0.00606
1073.0,0.00017,0.18623,0.05822,0.09663,0.04932,0.00231,0.0354,0.0,0.01026,0.00836,0.0,0.0408,0.0,0.0,0.0,0.00126,0.0,0.01944,0.06001,0.07661,0.05178,0.0,0.00632,0.00584
1073.0,0.00019,0.32569,0.03769,0.08384,0.05465,0.00065,0.01682,0.0,0.00904,0.01023,0.0,0.04155,0.0,0.0,0.0,0.00119,0.0,0.02199,0.06502,0.05014,0.01295,0.0,0.00767,0.00447
1073.0,0.00016,0.30686,0.04578,0.08335,0.04762,0.00184,0.02548,0.0,0.00946,0.00833,0.0,0.03812,0.0,0.0,0.0,0.0011,0.0,0.01866,0.05656,0.05829,0.03789,0.0,0.00635,0.00515
1073.0,0.00014,0.29853,0.04996,0.08315,0.04231,0.00199,0.03028,0.0,0.00882,0.00715,0.0,0.0351,0.0,0.0,0.0,0.00109,0.0,0.01672,0.05163,0.06662,0.04478,0.0,0.0054,0.00503
1073.0,0.00023,0.07031,0.08784,0.12458,0.07034,0.00315,0.06433,0.0,0.01529,0.01248,0.0,0.05588,0.0,0.0,0.0,0.00147,0.0,0.02675,0.07918,0.05277,0.02709,0.0,0.00962,0.00766
1073.0,0.0,0.15149,0.18253,0.05858,0.05248,0.00879,0.08552,0.0,0.01185,0.06987,0.0,0.04964,0.0,0.0,0.0,0.04065,0.0,0.0,0.02391,0.0,0.17278,0.0,0.0,0.00858
1073.0,0.00021,0.06819,0.08127,0.11838,0.06242,0.00308,0.05917,0.0,0.01387,0.01085,0.0,0.05134,0.0,0.0,0.0,0.00162,0.0,0.02418,0.07321,0.0718,0.03379,0.0,0.00823,0.00722
1073.0,0.00019,0.06744,0.07464,0.11109,0.05569,0.00294,0.05383,0.0,0.01241,0.00944,0.0,0.04723,0.0,0.0,0.0,0.00171,0.0,0.02204,0.06825,0.08766,0.04447,0.0,0.00703,0.0068
1073.0,0.0002,0.189,0.07592,0.10768,0.06041,0.00274,0.05531,0.0,0.0132,0.01068,0.0,0.04827,0.0,0.0,0.0,0.00128,0.0,0.02305,0.06838,0.04861,0.02406,0.0,0.00822,0.00664
1073.0,0.00018,0.18629,0.07074,0.10283,0.05403,0.00273,0.05131,0.0,0.01208,0.00938,0.0,0.0447,0.0,0.0,0.0,0.00143,0.0,0.02102,0.06373,0.06415,0.02943,0.0,0.00708,0.00629
1073.0,0.00017,0.18516,0.06521,0.09699,0.04853,0.00259,0.04692,0.0,0.01086,0.00821,0.0,0.0413,0.0,0.0,0.0,0.00149,0.0,0.01927,0.05966,0.07716,0.03866,0.0,0.0061,0.00595
1073.0,0.00017,0.30078,0.06507,0.092,0.05154,0.00236,0.04708,0.0,0.01132,0.00907,0.0,0.04139,0.0,0.0,0.0,0.0011,0.0,0.01973,0.05863,0.0436,0.02099,0.0,0.00698,0.0057
1073.0,0.00016,0.29767,0.06114,0.08856,0.04651,0.00241,0.04419,0.0,0.01046,0.0081,0.0,0.03862,0.0,0.0,0.0,0.00125,0.0,0.01815,0.05503,0.0559,0.02493,0.0,0.00607,0.00544
1073.0,0.00015,0.29621,0.0564,0.08384,0.04194,0.00224,0.04054,0.0,0.00941,0.00708,0.0,0.03575,0.0,0.0,0.0,0.00129,0.0,0.01668,0.05163,0.06671,0.03315,0.0,0.00526,0.00515
1073.0,0.00024,0.07137,0.09104,0.12757,0.07505,0.00319,0.06487,0.0,0.01605,0.01345,0.0,0.0586,0.0,0.0,0.0,0.00146,0.0,0.0284,0.08313,0.04188,0.0254,0.0,0.01041,0.00791
1073.0,0.00023,0.06859,0.08534,0.12329,0.06677,0.0034,0.06241,0.0,0.01472,0.01197,0.0,0.05395,0.0,0.0,0.0,0.00171,0.0,0.02565,0.07676,0.06074,0.02869,0.0,0.00897,0.00747
